librechat-1  | Registered tool: GET::services__java.lang.Record (get-services-java-lang-record)
librechat-1  | Registered tool: PUT::services__java.lang.Record__actions__clearHints__invoke (put-services-java-lang-record-actions-clear-hints-invoke)
librechat-1  | Registered tool: GET::services__java.lang.Record__actions__createdByCommand__invoke (get-services-java-lang-record-actions-created-by-command-invoke)
librechat-1  | Registered tool: GET::services__java.lang.Record__actions__recentAuditTrailEntries__invoke (get-srvcs-java-lang-rcrd-actns-rcnt-audit-trail-entrs-invk-8f53)
librechat-1  | Registered tool: GET::services__java.lang.Record__actions__recentCommands__invoke (get-services-java-lang-record-actions-recent-commands-invoke)
librechat-1  | Registered tool: GET::services__java.lang.Record__actions__recentExecutions__invoke (get-services-java-lang-record-actions-recent-executions-invoke)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId (get-objects-simple-home-page-view-model-object-id)
librechat-1  | Registered tool: PUT::objects__simple.HomePageViewModel__---objectId__actions__clearHints__invoke (put-objcts-smpl-home-page-view-model-objct-id-actns-clear-h-2971)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId__actions__createdByCommand__invoke (get-objcts-smpl-home-page-view-model-objct-id-actns-crtd-by-46db)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-smpl-home-page-view-model-objct-id-actns-rcnt-au-fa62)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId__actions__recentCommands__invoke (get-objcts-smpl-home-page-view-model-objct-id-actns-rcnt-cm-fcf4)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId__actions__recentExecutions__invoke (get-objcts-smpl-home-page-view-model-objct-id-actns-rcnt-ex-2c63)
librechat-1  | Registered tool: GET::objects__simple.HomePageViewModel__---objectId__collections__objects (get-objcts-smpl-home-page-view-model-objct-id-cllctns-objct-31d6)
librechat-1  | Registered tool: GET::objects__simple.SimpleObject__---objectId (get-objects-simple-simple-object-object-id)
librechat-1  | Registered tool: PUT::objects__simple.SimpleObject__---objectId__actions__clearHints__invoke (put-objcts-smpl-smpl-objct-objct-id-actns-clear-hints-invk-f783)
librechat-1  | Registered tool: GET::objects__simple.SimpleObject__---objectId__actions__createdByCommand__invoke (get-objcts-smpl-smpl-objct-objct-id-actns-crtd-by-cmmnd-inv-bfea)
librechat-1  | Registered tool: POST::objects__simple.SimpleObject__---objectId__actions__delete__invoke (post-objcts-smpl-smpl-objct-objct-id-actns-dlt-invk-e23a)
librechat-1  | Registered tool: GET::objects__simple.SimpleObject__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-smpl-smpl-objct-objct-id-actns-rcnt-audit-trail-71c4)
librechat-1  | Registered tool: GET::objects__simple.SimpleObject__---objectId__actions__recentCommands__invoke (get-objcts-smpl-smpl-objct-objct-id-actns-rcnt-cmmnds-invk-5347)
librechat-1  | Registered tool: GET::objects__simple.SimpleObject__---objectId__actions__recentExecutions__invoke (get-objcts-smpl-smpl-objct-objct-id-actns-rcnt-exctns-invk-faa7)
librechat-1  | Registered tool: PUT::objects__simple.SimpleObject__---objectId__actions__updateAttachment__invoke (put-objcts-smpl-smpl-objct-objct-id-actns-updt-attchmnt-inv-0f9e)
librechat-1  | Registered tool: PUT::objects__simple.SimpleObject__---objectId__actions__updateName__invoke (put-objcts-smpl-smpl-objct-objct-id-actns-updt-name-invk-a370)
librechat-1  | Registered tool: GET::services__simple.HomePageViewModel (get-services-simple-home-page-view-model)
librechat-1  | Registered tool: PUT::services__simple.HomePageViewModel__actions__clearHints__invoke (put-srvcs-smpl-home-page-view-model-actns-clear-hints-invk)
librechat-1  | Registered tool: GET::services__simple.HomePageViewModel__actions__createdByCommand__invoke (get-srvcs-smpl-home-page-view-model-actns-crtd-by-cmmnd-inv-9245)
librechat-1  | Registered tool: GET::services__simple.HomePageViewModel__actions__recentAuditTrailEntries__invoke (get-srvcs-smpl-home-page-view-model-actns-rcnt-audit-trail-eed9)
librechat-1  | Registered tool: GET::services__simple.HomePageViewModel__actions__recentCommands__invoke (get-srvcs-smpl-home-page-view-model-actns-rcnt-cmmnds-invk-0099)
librechat-1  | Registered tool: GET::services__simple.HomePageViewModel__actions__recentExecutions__invoke (get-srvcs-smpl-home-page-view-model-actns-rcnt-exctns-invk-4bb3)
librechat-1  | Registered tool: GET::services__simple.SimpleObject (get-services-simple-simple-object)
librechat-1  | Registered tool: PUT::services__simple.SimpleObject__actions__clearHints__invoke (put-services-simple-simple-object-actions-clear-hints-invoke)
librechat-1  | Registered tool: GET::services__simple.SimpleObject__actions__createdByCommand__invoke (get-srvcs-smpl-smpl-objct-actns-crtd-by-cmmnd-invk-29b8)
librechat-1  | Registered tool: POST::services__simple.SimpleObject__actions__delete__invoke (post-services-simple-simple-object-actions-delete-invoke)
librechat-1  | Registered tool: GET::services__simple.SimpleObject__actions__recentAuditTrailEntries__invoke (get-srvcs-smpl-smpl-objct-actns-rcnt-audit-trail-entrs-invk-7d87)
librechat-1  | Registered tool: GET::services__simple.SimpleObject__actions__recentCommands__invoke (get-srvcs-smpl-smpl-objct-actns-rcnt-cmmnds-invk)
librechat-1  | Registered tool: GET::services__simple.SimpleObject__actions__recentExecutions__invoke (get-srvcs-smpl-smpl-objct-actns-rcnt-exctns-invk-2e26)
librechat-1  | Registered tool: PUT::services__simple.SimpleObject__actions__updateAttachment__invoke (put-srvcs-smpl-smpl-objct-actns-updt-attchmnt-invk-2bc8)
librechat-1  | Registered tool: PUT::services__simple.SimpleObject__actions__updateName__invoke (put-services-simple-simple-object-actions-update-name-invoke)
librechat-1  | Registered tool: GET::services__simple.SimpleObjects (get-services-simple-simple-objects)
librechat-1  | Registered tool: POST::services__simple.SimpleObjects__actions__create__invoke (post-services-simple-simple-objects-actions-create-invoke)
librechat-1  | Registered tool: GET::services__simple.SimpleObjects__actions__findByName__invoke (get-services-simple-simple-objects-actions-find-by-name-invoke)
librechat-1  | Registered tool: POST::services__simple.SimpleObjects__actions__findByNameLike__invoke (post-srvcs-smpl-smpl-objcts-actns-find-by-name-like-invk-7128)
librechat-1  | Registered tool: GET::services__simple.SimpleObjects__actions__listAll__invoke (get-services-simple-simple-objects-actions-list-all-invoke)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream (get-services-java-util-stream-stream)
librechat-1  | Registered tool: PUT::services__java.util.stream.Stream__actions__clearHints__invoke (put-services-java-util-stream-stream-actions-clear-hints-invoke)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__createdByCommand__invoke (get-srvcs-java-util-strm-strm-actns-crtd-by-cmmnd-invk-9c59)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentAuditTrailEntries__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-audit-trail-entrs-54fc)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentCommands__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-cmmnds-invk-90e2)
librechat-1  | Registered tool: GET::services__java.util.stream.Stream__actions__recentExecutions__invoke (get-srvcs-java-util-strm-strm-actns-rcnt-exctns-invk-5275)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId (get-objects-causeway-applib-domain-object-list-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.applib.DomainObjectList__---objectId__actions__clearHints__invoke (put-objcts-cswy-applb-dmn-objct-list-objct-id-actns-clear-h-a6a4)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-crtd-by-fc7d)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-au-5d45)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentCommands__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-cm-70e1)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-applb-dmn-objct-list-objct-id-actns-rcnt-ex-6aa1)
librechat-1  | Registered tool: GET::objects__causeway.applib.DomainObjectList__---objectId__collections__objects (get-objcts-cswy-applb-dmn-objct-list-objct-id-cllctns-objct-f97a)
librechat-1  | Registered tool: GET::objects__causeway.applib.MetamodelInspectView__---objectId (get-objects-causeway-applib-metamodel-inspect-view-object-id)
